Index,Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
328,Queens,Rockaway Beach-Arverne-Edgemere,Edgemere Farm,"385 Beach 45th St, Far Rockaway, NY 11691",Volunteers at Edgemere Farm,Year Round,"Wednesdays, Thursdays, Fridays, and Saturdays (Start Time: 10:00 AM - End Time:  Wednesday-Friday at 5:00PM; Saturdays at 3:00PM)","Not accepted: meat, bones, or dairy",http://www.edgemerefarm.org/,414,31,,,,40.595012,-73.7765544,101,4301,POINT (-73.7765544 40.595012)
329,Manhattan,East Village,1st Ave and 1st St,First Avenue between Houston and First Street (West Side),NYC Compost Project Hosted by LES Ecology Center,Year Round,Mondays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,2,,,,40.723183,-73.988622,9,4037,POINT (-73.988622 40.723183)
330,Queens,Queensbridge-Ravenswood-Dutch Kills,SE Corner of 40 Avenue & 10 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,4169,
331,Manhattan,Harlem (South),NW Corner of W 114 Street & Adam Clayton Powell Jr Blvd,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,28,3905,
332,Bronx,West Farms,NW Corner of Daly Avenue & Elsmere Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,4224,
333,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Tompkins Avenue & Putnam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3992,
334,Manhattan,East Harlem (North),NE Corner of E 120 Street & Madision Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,9,,,,,,25,3910,
335,Manhattan,East Midtown-Turtle Bay,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  12:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,106,4,,,,40.752606,-73.969036,17,4056,POINT (-73.969036 40.752606)
336,Manhattan,Midtown South-Flatiron-Union Square,Madison Square Park Food Scrap Drop-off,23rd St & Broadway,GrowNYC,Year Round,Wednesdays (Start Time: 8:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,105,3,,,,40.741669,-73.988969,13,4009,POINT (-73.988969 40.741669)
337,Queens,Sunnyside,45th Street Composters,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",Volunteers at 45th Street Compost,Year Round,Sundays (Start Time: 10:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://linktr.ee/45thstreetcomposters,402,26,,,,40.746199,-73.919118,108,4269,POINT (-73.919118 40.746199)
338,Bronx,Westchester Square,NW Corner of Zerega Avenue & Waterbury Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,18,,,,,,45,4252,
339,Bronx,Concourse-Concourse Village,New Roots Community Farm,"670 Grand Concourse, The Bronx, NY 10451",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,204,16,,,,40.82135,-73.92506,44,4120,POINT (-73.92506 40.82135)
340,Bronx,Castle Hill-Unionport,SW Corner of Pugsley Avenue & Watson Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,18,,,,,,43,4142,
341,Bronx,Parkchester,Parkchester,Westchester Ave and White Plains Rd.,GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,209,18,72,,,40.83343,-73.861655,43,4137,POINT (-73.861655 40.83343)
342,Brooklyn,Bedford-Stuyvesant (East),SE Corner of Throop Avenue & Hart Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3988,
