OID,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
6721,0,0,0,0,0,Start Time: 12:00 PM - End Time: 4:00 PM,Start Time: 12:00 PM - End Time: 4:00 PM
6924,0,0,0,0,0,Start Time: 2:00 PM - End Time: 4:00 PM,Start Time: 2:00 PM - End Time: 4:00 PM
6978,0,0,0,0,0,0,Start Time: 1:00 PM - End Time: 4:00 PM 
6983,0,0,0,0,0,0,Start Time: 10:00 AM - End Time: 1:00 PM
7135,0,0,0,0,0,0,Start Time: 10:00 AM - End Time: 1:00 PM
6846,0,0,0,0,0,0,Start Time: 10:00 AM - End Time: 3:00 PM
7142,0,0,0,0,0,0,Start Time: 10:30 AM - End Time: 1:00 PM
6763,0,0,0,0,0,0,Start Time: 11:00 AM - End Time: 4:00 PM
6728,0,0,0,0,0,0,Start Time: 11:00 AM - End Time: 2:00 PM
6982,0,0,0,0,0,0,Start Time: 11:30 AM - End Time: 1:00 PM
6985,0,0,0,0,0,0,Start Time: 11:30 AM - End Time: 2:00 PM
6743,0,0,0,0,0,0,Start Time: 12:00 PM - End Time: 1:00 PM
6764,0,0,0,0,0,0,Start Time: 12:00 PM - End Time: 2:00 PM
6933,0,0,0,0,0,0,Start Time: 12:00 PM - End Time: 3:00 PM
7143,0,0,0,0,0,0,Start Time: 2:00 PM - End Time: 5:00 PM 
7124,0,0,0,0,0,0,Start Time: 7:30 AM - End Time: 12:30 PM
6750,0,0,0,0,0,0,Start Time: 8:00 AM - End Time: 12:00 PM
6781,0,0,0,0,0,0,Start Time: 8:00 AM - End Time: 12:00 PM
6922,0,0,0,0,0,0,Start Time: 8:00 AM - End Time: 5:00 PM
7138,0,0,0,0,0,0,Start Time: 8:30 AM - End Time: 12:00 PM
7024,0,0,0,0,0,0,Start Time: 8:30 AM - End Time: 2:00 PM
6767,0,0,0,0,0,0,Start Time: 9:00 AM - End Time: 1:00 PM
7070,0,0,0,0,0,0,Start Time: 9:00 AM - End Time: 1:00 PM
7134,0,0,0,0,0,0,Start Time: 9:00 AM - End Time: 1:00 PM
6779,0,0,0,0,0,0,Start Time: 9:00 AM - End Time: 11:00 AM
6730,0,0,0,0,0,0,Start Time: 9:00 AM - End Time: 3:00 PM
7020,0,0,0,0,0,0,Start Time: 9:30 AM - End Time: 1:30 PM
6782,0,0,Start Time: 7:00 PM - End Time: 8:00 PM,0,0,0,Start Time: 9:00 AM - End Time: 10:00 AM
6930,Start Time: 1:00 PM - End Time: 7:00 PM,0,0,0,0,0,Start Time: 9:00 AM - End Time: 1:00 PM
6999,0,0,0,Start Time: 1:00 PM - End Time: 5:00 PM,Start Time: 1:00 PM - End Time: 5:00 PM,Start Time: 10:30 AM - End Time: 12:30 PM,0
7120,0,0,0,0,0,0,0
6993,0,0,0,0,0,0,0
7155,0,0,0,0,0,0,0
7025,0,0,0,0,0,0,0
6748,0,0,0,0,0,0,0
6731,0,0,0,0,0,0,0
6773,0,0,0,0,0,0,0
6907,0,0,0,0,0,0,0
7090,0,0,0,0,0,0,0
6859,0,0,0,0,0,0,0
6954,0,0,0,0,0,0,0
6725,0,0,0,0,0,0,0
6727,0,0,0,0,0,0,0
7114,0,0,0,0,0,0,0
7137,0,0,0,0,0,0,0
6820,0,0,0,Start Time: 1:00 PM - End Time: 4:00 PM,0,Start Time: 11:00 AM - End Time: 3:00 PM,Start Time: 11:00 AM - End Time: 3:00 PM
6806,0,Start Time: 5:00 PM - End Time: 7:00 PM,Start Time: 7:30 AM - End Time: 9:00 AM,Start Time: 6:00 PM - End Time: 7:00 PM,Start Time: 8:00 AM - End Time: 10:00 AM,Start Time: 10:00 AM - End Time: 12:00 PM,Start Time: 10:00 AM - End Time: 12:00 PM
6768,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0,0
6769,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0,0
6770,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0,0
6926,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0,0
6927,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0,0
7018,0,Start Time: 12:00 PM - End Time: 2:00 PM,0,0,0,0,0
7127,0,Start Time: 4:00 PM - End Time: 7:00 PM,0,0,0,0,0
7035,0,Start Time: 8:00 AM - End Time: 10:00 AM,0,0,0,0,0
6717,0,Start Time: 8:00 AM - End Time: 11:00 AM,0,0,0,0,0
7098,0,Start Time: 8:00 AM - End Time: 2:00 PM,0,0,0,0,0
6736,0,Start Time: 9:00 AM - End Time: 12:00 PM,0,0,0,0,0
7139,0,Start Time: 9:00 AM - End Time: 12:00 PM,0,0,0,0,0
6923,0,Start Time: Tuesday: 1:30 PM - End Time: 4:00 PM,0,0,0,0,Start Time: 12:00 PM - End Time: 4:00 PM
7167,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0
7163,0,Start Time: 12:00 PM - End Time: 4:00 PM,Start Time: 12:00 PM - End Time: 4:00 PM,0,0,0,0
7071,0,Start Time: 6:00 PM - 8:00 PM,0,0,Start Time: Dawn - End Time: All night,Start Time: Dawn - End Time: All night,Start Time: Dawn - End Time: 4:00 PM
7086,0,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0
7021,0,0,Start Time: 1:00 PM - End Time: 3:00 PM,0,0,0,0
7161,0,0,Start Time: 1:00 PM - End Time: 3:00 PM,0,0,0,0
6805,0,0,Start Time: 10:00 AM - End Time: 1:00 PM,0,0,0,0
7016,0,0,Start Time: 10:00 AM - End Time: 1:00 PM,0,0,0,0
7162,0,0,Start Time: 10:00 AM - End Time: 12:00 PM,0,0,0,0
6784,0,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0
6785,0,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0
6786,0,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0
6787,0,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0
6788,0,0,Start Time: 10:00 AM - End Time: 2:00 PM,0,0,0,0
7118,0,0,Start Time: 12:00 PM - End Time: 2:00 PM,0,0,0,0
6802,0,0,Start Time: 2:00 PM - End Time: 7:00 PM,0,0,0,0
6998,0,0,Start Time: 2:30 PM - End Time: 5:00 PM,0,0,0,0
7183,0,0,Start Time: 3:30 PM - End Time: 5:00 PM,0,0,0,0
7133,0,0,Start Time: 4:00 PM - End Time: 5:00 PM,0,0,0,0
6735,0,0,Start Time: 7:30 AM - End Time: 1:30 PM,0,0,0,0
6783,0,0,Start Time: 7:30 AM - End Time: 10:30 AM,0,0,0,0
